,16,20,24,26,28,29,30
56,-4015.150,-4015.150,-4015.149,-4015.149,-4015.150,-4015.142,-4015.142
57,-4015.150,-4015.150,-4015.149,-4015.149,-4015.147,-4015.150,-4015.150
58,-4015.143,-4015.142,  -4015.142,-4015.142,-4015.142,-4015.142,-4015.142
59,  -4015.148,-4015.147,-4015.147,-4015.147,-4015.142,-4015.147,-4015.147
