# t (s),mx (),my (),mz (),B_extx (T),B_exty (T),B_extz (T),mx (),my (),mz (),E_total (J),E_anis (J),E_exch (J),E_demag (J),E_Zeeman (J)
0,795904.688,-4.55E-03,0,0.14999999,0,0,0.99488086,-5.68E-09,0,-2.00E-16,0,6.47E-19,3.37E-17,-2.35E-16
0,795874.08,-3.28E-03,0,0.149,0,0,0.9948426,-4.10E-09,0,-1.99E-16,0,6.52E-19,3.37E-17,-2.33E-16
0,795843.176,-4.27E-03,0,0.148,0,0,0.99480385,-5.33E-09,0,-1.97E-16,0,6.57E-19,3.37E-17,-2.32E-16
0,795811.8,-2.68E-03,0,0.147,0,0,0.9947648,-3.35E-09,0,-1.96E-16,0,6.62E-19,3.37E-17,-2.30E-16
0,795780.376,-4.39E-03,0,0.14600001,0,0,0.99472547,-5.49E-09,0,-1.94E-16,0,6.67E-19,3.37E-17,-2.28E-16
0,795748.56,-3.94E-03,0,0.145,0,0,0.9946857,-4.93E-09,0,-1.93E-16,0,6.72E-19,3.36E-17,-2.27E-16
0,795716.432,-5.60E-03,0,0.144,0,0,0.9946455,-7.00E-09,0,-1.91E-16,0,6.77E-19,3.36E-17,-2.25E-16
0,795684.048,-4.04E-03,0,0.143,0,0,0.99460506,-5.05E-09,0,-1.89E-16,0,6.82E-19,3.36E-17,-2.24E-16
0,795651.248,-5.88E-03,0,0.142,0,0,0.99456406,-7.35E-09,0,-1.88E-16,0,6.87E-19,3.36E-17,-2.22E-16
0,795618.16,-6.00E-03,0,0.14100002,0,0,0.9945227,-7.50E-09,0,-1.86E-16,0,6.92E-19,3.36E-17,-2.21E-16
0,795584.88,-6.26E-03,0,0.14,0,0,0.9944811,-7.82E-09,0,-1.85E-16,0,6.98E-19,3.36E-17,-2.19E-16
0,795551.256,-4.44E-03,0,0.139,0,0,0.9944391,-5.55E-09,0,-1.83E-16,0,7.03E-19,3.36E-17,-2.17E-16
0,795517.28,-5.43E-03,0,0.138,0,0,0.9943966,-6.79E-09,0,-1.82E-16,0,7.08E-19,3.35E-17,-2.16E-16
0,795483.04,-6.29E-03,0,0.13699998,0,0,0.9943537,-7.86E-09,0,-1.80E-16,0,7.14E-19,3.35E-17,-2.14E-16
0,795448.4,-5.54E-03,0,0.13600002,0,0,0.9943105,-6.92E-09,0,-1.78E-16,0,7.19E-19,3.35E-17,-2.13E-16
0,795413.6,-4.79E-03,0,0.135,0,0,0.994267,-5.99E-09,0,-1.77E-16,0,7.25E-19,3.35E-17,-2.11E-16
0,795378.24,-6.62E-03,0,0.134,0,0,0.9942228,-8.28E-09,0,-1.75E-16,0,7.30E-19,3.35E-17,-2.10E-16
0,795342.68,-4.72E-03,0,0.133,0,0,0.99417835,-5.90E-09,0,-1.74E-16,0,7.36E-19,3.35E-17,-2.08E-16
0,795306.8,-4.63E-03,0,0.13199998,0,0,0.9941335,-5.79E-09,0,-1.72E-16,0,7.42E-19,3.35E-17,-2.06E-16
0,795270.56,-5.79E-03,0,0.131,0,0,0.9940882,-7.23E-09,0,-1.71E-16,0,7.48E-19,3.34E-17,-2.05E-16
0,795234,-7.72E-03,0,0.13,0,0,0.9940425,-9.65E-09,0,-1.69E-16,0,7.53E-19,3.34E-17,-2.03E-16
0,795197.04,-6.09E-03,0,0.129,0,0,0.9939963,-7.61E-09,0,-1.68E-16,0,7.59E-19,3.34E-17,-2.02E-16
0,795159.864,-7.35E-03,0,0.128,0,0,0.99394983,-9.19E-09,0,-1.66E-16,0,7.65E-19,3.34E-17,-2.00E-16
0,795122.24,-5.69E-03,0,0.12699999,0,0,0.9939028,-7.11E-09,0,-1.64E-16,0,7.71E-19,3.34E-17,-1.99E-16
0,795084.288,-5.16E-03,0,0.126,0,0,0.99385536,-6.45E-09,0,-1.63E-16,0,7.77E-19,3.34E-17,-1.97E-16
0,795045.952,-4.95E-03,0,0.125,0,0,0.9938075,-6.18E-09,0,-1.61E-16,0,7.83E-19,3.33E-17,-1.95E-16
