# t (s),mx (),my (),mz (),B_extx (T),B_exty (T),B_extz (T),mx (),my (),mz (),E_total (J),E_anis (J),E_exch (J),E_demag (J),E_Zeeman (J)
0,1680759.239,3.17E-02,0,0.14999999,0,0,0.9829002,1.85E-08,0,-3.51E-16,0,4.92E-18,1.39E-16,-4.96E-16
0,1680398.429,3.6E-02,0,0.149,0,0,0.9826891,2.1E-08,0,-3.48E-16,0,4.94E-18,1.39E-16,-4.92E-16
0,1680037.38,4.02E-02,0,0.148,0,0,0.982478,2.35E-08,0,-3.45E-16,0,4.96E-18,1.39E-16,-4.89E-16
0,1679680.845,2.26E-02,0,0.147,0,0,0.9822696,1.32E-08,0,-3.42E-16,0,4.98E-18,1.39E-16,-4.85E-16
0,1679327.833,3.34E-02,0,0.14600001,0,0,0.98206306,1.95E-08,0,-3.38E-16,0,5E-18,1.39E-16,-4.82E-16
0,1678978.377,3.6E-02,0,0.145,0,0,0.9818587,2.11E-08,0,-3.35E-16,0,5.02E-18,1.39E-16,-4.79E-16
0,1678631.692,2.8E-02,0,0.144,0,0,0.98165596,1.64E-08,0,-3.32E-16,0,5.04E-18,1.39E-16,-4.75E-16
0,1678287.708,5.81E-02,0,0.143,0,0,0.9814548,3.39E-08,0,-3.28E-16,0,5.06E-18,1.38E-16,-4.72E-16
0,1677946.563,2.99E-02,0,0.142,0,0,0.98125535,1.75E-08,0,-3.25E-16,0,5.08E-18,1.38E-16,-4.68E-16
0,1677607.812,2.92E-02,0,0.14100002,0,0,0.98105717,1.71E-08,0,-3.22E-16,0,5.1E-18,1.38E-16,-4.65E-16
0,1677270.771,2.14E-02,0,0.14,0,0,0.9808601,1.25E-08,0,-3.18E-16,0,5.12E-18,1.38E-16,-4.62E-16
0,1676935.662,2.08E-02,0,0.139,0,0,0.98066413,1.22E-08,0,-3.15E-16,0,5.15E-18,1.38E-16,-4.58E-16
0,1676602.332,2.68E-02,0,0.138,0,0,0.9804692,1.57E-08,0,-3.12E-16,0,5.17E-18,1.38E-16,-4.55E-16
0,1676270.507,2.39E-02,0,0.13699998,0,0,0.98027515,1.4E-08,0,-3.09E-16,0,5.19E-18,1.38E-16,-4.52E-16
0,1675939.775,1.86E-02,0,0.13600002,0,0,0.9800818,1.09E-08,0,-3.05E-16,0,5.21E-18,1.38E-16,-4.48E-16
0,1675610.874,1.5E-02,0,0.135,0,0,0.97988933,8.75E-09,0,-3.02E-16,0,5.23E-18,1.38E-16,-4.45E-16
0,1675282.469,1.22E-02,0,0.134,0,0,0.97969735,7.11E-09,0,-2.99E-16,0,5.25E-18,1.37E-16,-4.41E-16
0,1674955.26,1.28E-02,0,0.133,0,0,0.979506,7.46E-09,0,-2.95E-16,0,5.27E-18,1.37E-16,-4.38E-16
0,1674628.718,1.42E-02,0,0.13199998,0,0,0.979315,8.31E-09,0,-2.92E-16,0,5.3E-18,1.37E-16,-4.35E-16
0,1674302.895,1.62E-02,0,0.131,0,0,0.9791245,9.49E-09,0,-2.89E-16,0,5.32E-18,1.37E-16,-4.31E-16
0,1673977.482,1.54E-02,0,0.13,0,0,0.9789342,9.03E-09,0,-2.86E-16,0,5.34E-18,1.37E-16,-4.28E-16
0,1673652.753,1.13E-02,0,0.129,0,0,0.9787443,6.6E-09,0,-2.82E-16,0,5.36E-18,1.37E-16,-4.24E-16
0,1673328.486,9.65E-03,0,0.128,0,0,0.97855467,5.64E-09,0,-2.79E-16,0,5.38E-18,1.37E-16,-4.21E-16
0,1673004.15,1.28E-02,0,0.12699999,0,0,0.978365,7.51E-09,0,-2.76E-16,0,5.41E-18,1.37E-16,-4.18E-16
0,1672679.934,1.91E-02,0,0.126,0,0,0.9781755,1.12E-08,0,-2.72E-16,0,5.43E-18,1.37E-16,-4.14E-16
0,1672356.128,8.61E-03,0,0.125,0,0,0.97798604,5.03E-09,0,-2.69E-16,0,5.45E-18,1.36E-16,-4.11E-16
0,1672032.101,1.33E-02,0,0.124000005,0,0,0.97779655,7.77E-09,0,-2.66E-16,0,5.47E-18,1.36E-16,-4.08E-16
0,1671708.312,1.05E-02,0,0.12300001,0,0,0.9776072,6.12E-09,0,-2.63E-16,0,5.5E-18,1.36E-16,-4.04E-16
0,1671384.267,1.12E-02,0,0.121999994,0,0,0.9774176,6.54E-09,0,-2.59E-16,0,5.52E-18,1.36E-16,-4.01E-16
0,1671059.88,1.3E-02,0,0.121,0,0,0.977228,7.58E-09,0,-2.56E-16,0,5.54E-18,1.36E-16,-3.98E-16
0,1670735.151,7.33E-03,0,0.12,0,0,0.9770381,4.29E-09,0,-2.53E-16,0,5.56E-18,1.36E-16,-3.94E-16
0,1670410.2,4.74E-03,0,0.11900001,0,0,0.97684807,2.77E-09,0,-2.49E-16,0,5.59E-18,1.36E-16,-3.91E-16
0,1670084.753,7.37E-03,0,0.118000016,0,0,0.97665775,4.31E-09,0,-2.46E-16,0,5.61E-18,1.36E-16,-3.87E-16
0,1669758.792,8.27E-03,0,0.11699999,0,0,0.97646725,4.84E-09,0,-2.43E-16,0,5.63E-18,1.36E-16,-3.84E-16
0,1669432.473,8.45E-03,0,0.116,0,0,0.9762763,4.94E-09,0,-2.4E-16,0,5.66E-18,1.36E-16,-3.81E-16
0,1669105.47,6.4E-03,0,0.115,0,0,0.976085,3.74E-09,0,-2.36E-16,0,5.68E-18,1.35E-16,-3.77E-16
0,1668777.714,1.04E-02,0,0.11400001,0,0,0.9758934,6.08E-09,0,-2.33E-16,0,5.7E-18,1.35E-16,-3.74E-16
0,1668449.394,5.18E-03,0,0.11299999,0,0,0.9757014,3.03E-09,0,-2.3E-16,0,5.73E-18,1.35E-16,-3.71E-16
0,1668120.219,1.05E-02,0,0.111999996,0,0,0.97550887,6.16E-09,0,-2.26E-16,0,5.75E-18,1.35E-16,-3.67E-16
0,1667790.189,8.63E-03,0,0.111,0,0,0.9753159,5.05E-09,0,-2.23E-16,0,5.77E-18,1.35E-16,-3.64E-16
0,1667459.646,4.63E-03,0,0.11000001,0,0,0.9751225,2.71E-09,0,-2.2E-16,0,5.8E-18,1.35E-16,-3.61E-16
0,1667127.906,5.62E-03,0,0.10899998,0,0,0.9749286,3.29E-09,0,-2.17E-16,0,5.82E-18,1.35E-16,-3.57E-16
0,1666795.055,9.26E-03,0,0.107999995,0,0,0.97473407,5.41E-09,0,-2.13E-16,0,5.85E-18,1.35E-16,-3.54E-16
0,1666461.451,4.01E-03,0,0.107,0,0,0.9745388,2.34E-09,0,-2.1E-16,0,5.87E-18,1.35E-16,-3.51E-16
0,1666126.872,-2.09E-03,0,0.106,0,0,0.9743432,-1.22E-09,0,-2.07E-16,0,5.89E-18,1.35E-16,-3.47E-16
0,1665790.857,6.44E-03,0,0.105000004,0,0,0.9741468,3.77E-09,0,-2.03E-16,0,5.92E-18,1.35E-16,-3.44E-16
0,1665454.158,-1.99E-03,0,0.10399999,0,0,0.97394985,-1.16E-09,0,-2E-16,0,5.94E-18,1.34E-16,-3.41E-16
0,1665116.262,-2.71E-03,0,0.10299999,0,0,0.9737522,-1.59E-09,0,-1.97E-16,0,5.97E-18,1.34E-16,-3.37E-16
0,1664776.827,1.74E-04,0,0.102,0,0,0.9735537,1.02E-10,0,-1.94E-16,0,5.99E-18,1.34E-16,-3.34E-16
0,1664436.537,2.12E-03,0,0.101,0,0,0.97335464,1.24E-09,0,-1.9E-16,0,6.02E-18,1.34E-16,-3.31E-16
0,1664094.537,-7.17E-03,0,0.10000001,0,0,0.97315484,-4.19E-09,0,-1.87E-16,0,6.04E-18,1.34E-16,-3.27E-16
0,1663751.511,-2.39E-03,0,0.09899999,0,0,0.97295415,-1.4E-09,0,-1.84E-16,0,6.07E-18,1.34E-16,-3.24E-16
0,1663407.288,1.99E-03,0,0.098,0,0,0.9727527,1.16E-09,0,-1.81E-16,0,6.09E-18,1.34E-16,-3.2E-16
0,1663061.355,-5.97E-04,0,0.097,0,0,0.9725505,-3.49E-10,0,-1.77E-16,0,6.12E-18,1.34E-16,-3.17E-16
0,1662714.054,1.32E-03,0,0.09600001,0,0,0.9723474,7.71E-10,0,-1.74E-16,0,6.14E-18,1.34E-16,-3.14E-16
0,1662365.214,2.24E-03,0,0.095,0,0,0.9721434,1.31E-09,0,-1.71E-16,0,6.17E-18,1.34E-16,-3.1E-16
0,1662014.835,-1.24E-04,0,0.09399999,0,0,0.9719385,-7.28E-11,0,-1.67E-16,0,6.19E-18,1.34E-16,-3.07E-16
0,1661663.174,9.95E-05,0,0.093,0,0,0.97173285,5.82E-11,0,-1.64E-16,0,6.22E-18,1.33E-16,-3.04E-16
0,1661309.717,1.74E-04,0,0.092,0,0,0.9715262,1.02E-10,0,-1.61E-16,0,6.24E-18,1.33E-16,-3E-16
0,1660954.396,-2.99E-04,0,0.091000006,0,0,0.97131836,-1.75E-10,0,-1.58E-16,0,6.27E-18,1.33E-16,-2.97E-16
0,1660597.929,-7.22E-04,0,0.09,0,0,0.97110987,-4.22E-10,0,-1.54E-16,0,6.3E-18,1.33E-16,-2.94E-16
0,1660239.41,-2.59E-03,0,0.088999994,0,0,0.97090024,-1.51E-09,0,-1.51E-16,0,6.32E-18,1.33E-16,-2.91E-16
0,1659879.113,-2.64E-03,0,0.088,0,0,0.97068965,-1.54E-09,0,-1.48E-16,0,6.35E-18,1.33E-16,-2.87E-16
0,1659517.277,-7.54E-03,0,0.087000005,0,0,0.970478,-4.41E-09,0,-1.45E-16,0,6.38E-18,1.33E-16,-2.84E-16
0,1659153.612,-6.3E-03,0,0.08600001,0,0,0.97026527,-3.68E-09,0,-1.41E-16,0,6.4E-18,1.33E-16,-2.81E-16
0,1658788.065,-4.48E-03,0,0.08499999,0,0,0.9700515,-2.62E-09,0,-1.38E-16,0,6.43E-18,1.33E-16,-2.77E-16
0,1658420.586,-3.78E-03,0,0.084,0,0,0.96983653,-2.21E-09,0,-1.35E-16,0,6.46E-18,1.33E-16,-2.74E-16
0,1658051.226,-2.99E-03,0,0.083,0,0,0.9696206,-1.75E-09,0,-1.32E-16,0,6.48E-18,1.33E-16,-2.71E-16
0,1657679.814,-2.07E-03,0,0.08200001,0,0,0.9694034,-1.21E-09,0,-1.28E-16,0,6.51E-18,1.32E-16,-2.67E-16
0,1657306.521,-2.12E-03,0,0.081,0,0,0.96918505,-1.24E-09,0,-1.25E-16,0,6.54E-18,1.32E-16,-2.64E-16
0,1656931.176,-7.09E-04,0,0.07999999,0,0,0.9689656,-4.15E-10,0,-1.22E-16,0,6.56E-18,1.32E-16,-2.61E-16
0,1656553.83,-3.83E-03,0,0.079,0,0,0.96874493,-2.24E-09,0,-1.19E-16,0,6.59E-18,1.32E-16,-2.57E-16
0,1656174.33,-3.73E-03,0,0.078,0,0,0.968523,-2.18E-09,0,-1.15E-16,0,6.62E-18,1.32E-16,-2.54E-16
0,1655792.778,-2.81E-03,0,0.077,0,0,0.96829987,-1.64E-09,0,-1.12E-16,0,6.65E-18,1.32E-16,-2.51E-16
0,1655409.02,-5.82E-03,0,0.076,0,0,0.96807545,-3.41E-09,0,-1.09E-16,0,6.68E-18,1.32E-16,-2.47E-16
0,1655023.038,-5.09E-03,0,0.074999996,0,0,0.96784973,-2.98E-09,0,-1.06E-16,0,6.7E-18,1.32E-16,-2.44E-16
0,1654634.817,-3.86E-03,0,0.074,0,0,0.9676227,-2.26E-09,0,-1.02E-16,0,6.73E-18,1.32E-16,-2.41E-16
0,1654244.339,-9.23E-03,0,0.07300001,0,0,0.96739435,-5.4E-09,0,-9.9E-17,0,6.76E-18,1.32E-16,-2.37E-16
0,1653851.534,-9.65E-03,0,0.072,0,0,0.96716464,-5.65E-09,0,-9.57E-17,0,6.79E-18,1.32E-16,-2.34E-16
0,1653456.456,-3.28E-03,0,0.071,0,0,0.9669336,-1.92E-09,0,-9.25E-17,0,6.82E-18,1.31E-16,-2.31E-16
0,1653058.881,-1.01E-02,0,0.07,0,0,0.9667011,-5.89E-09,0,-8.92E-17,0,6.85E-18,1.31E-16,-2.28E-16
0,1652659.015,-1.34E-02,0,0.069,0,0,0.96646726,-7.85E-09,0,-8.6E-17,0,6.88E-18,1.31E-16,-2.24E-16
0,1652256.549,-8E-03,0,0.06800001,0,0,0.9662319,-4.68E-09,0,-8.27E-17,0,6.9E-18,1.31E-16,-2.21E-16
0,1651851.621,-7.1E-03,0,0.067,0,0,0.9659951,-4.15E-09,0,-7.95E-17,0,6.93E-18,1.31E-16,-2.18E-16
0,1651444.128,-1.17E-02,0,0.06599999,0,0,0.9657568,-6.84E-09,0,-7.62E-17,0,6.96E-18,1.31E-16,-2.14E-16
